DateTime,"Melter Gas Flow Valve Opening  _DB885,DD670,QC","Header Gas Pressure -Gail_DB1367,DD0,QC","ThermoCouple Flue Pass left Inner _DB872,DD0,QC","ThermoCouple Flue Pass left outer _DB874,DD0,QC","ThermoCouple Flue Pass Right Inner _DB876,DD0,QC","ThermoCouple Flue Pass Right outer _DB879,DD0,QC","Glass level_DB1177,DD0,QC","Fibber Optic Thermometer -Distributer-zone -2_DB719,DD134,QC","Fibber Optic Thermometer -Distributer-zone -6_DB731,DD134,QC","High Pressure M/C-61_DB668,DD134,QC","High Pressure M/C-65_DB691,DD134,QC","ThermoCouple Regenratore Right_DB868,DD0,QC","ThermoCouple melter bottom -2_DB858,DD0,QC","Melter Gas Flow Setpoint _DB885,DD726,QC","Fiber Optic Thermometer -F/H65- Middle_DB189,DD134,QC","ThermoCouple melter Crown -1_DB845,DD0,QC","Throat cooling blower Pressure _DB837,DD134,QC",chem_comp_SiO2,chem_comp_Al2O3,chem_comp_Fe2O3,chem_comp_CaO,chem_comp_MgO,chem_comp_Na2O,chem_comp_K2O,chem_comp_SO3,physical_test_density_gm_cc,physical_test_seed_count_result,,"Melter Gas flow_DB885,DD134,QC"
11:57.4,46.56670761,1.907552123,131.9000092,115.5,470.1000061,497.2000122,0.132523537,1330.30957,1372.612793,41.11979294,39.98263931,1344.5,1262,815,1241.99939,1477.5,250.3616943,70.59,1.99,0.02,7.93,2.28,13.71,1.2,0.232,2.5103,7,,813.6936035
26:57.4,44.75955963,1.911675334,425.1000061,552.7999878,237,212.8000031,0.032407761,1330.410889,1372.569458,41.25000381,40.24088669,1307.700073,1261.800049,815,1242.057251,1478.900024,249.2585297,70.41,2.06,0.019,8.14,2.2,13.6,1.26,0.23,2.5107,16,,819.1189575
41:57.4,46.75978088,1.903862834,290.8999939,262.1000061,310,342.5,0.04745388,1329.947876,1372.453735,41.01562881,40.04557419,1320.900024,1261.599976,815,1242.086182,1473.099976,250.4701996,70.37,2.09,0.0177,8.27,2.06,13.6,1.26,0.231,2.5103,13,,808.5395508
56:57.4,5,1.923611164,113.4000015,105.2000046,485,508.3000183,-0.015625,1329.658569,1372.309082,40.91146088,40.04774475,1340.099976,1261.900024,815,1241.811279,1470,249.9095764,70.33,2.06,0.019,8.23,2.03,13.68,1.23,0.231,2.5114,10,,194.7699738
11:57.4,46.03653717,1.907986164,451.7000122,562.1000366,199,174.1000061,0.050926208,1329.803223,1372.46814,40.95269394,39.79600906,1300.900024,1262,815,1242.173096,1475.200073,249.7649078,70.39,2.03,0.019,8.19,2.07,13.68,1.23,0.228,2.5087,12,,815.8095093
25:57.4,47.05624008,1.908203125,237.8000031,204.6000061,367,406.7000122,0.039351463,1330.237305,1372.598389,41.25434113,40.20616531,1329,1262,815,1241.941528,1471.300049,251.293045,70.42,2.03,0.02,8.16,2.16,13.6,1.24,0.23,2.5101,13,,814.453125
38:57.4,5,1.889973998,112,107.7000046,484.3999939,506.5,-0.118055344,1330.584473,1372.583862,40.84635544,39.81771088,1344.700073,1261.900024,820,1242.115112,1472.200073,252.00737,70.4,2,0.017,8.23,2.1,13.6,1.25,0.236,2.5089,16,,70.80078125
51:57.4,46.37753677,1.915798664,441.3000183,559.2999878,214.6999969,189.5,0.027198792,1330.28064,1372.902222,41.03949738,40,1304.200073,1261.900024,825,1241.854736,1478,249.8191528,70.47,2.03,0.016,8.19,2.11,13.59,1.25,0.235,2.5104,15,,829.5356445
02:57.4,47.54264069,1.906684041,355.8999939,347.2000122,240.9000092,253.6000061,0.083911896,1329.759766,1372.916626,41.10243225,40.20833588,1313.900024,1261.700073,825,1242.158569,1480.099976,250.7324219,70.15,2.07,0.018,8.13,2.21,13.62,1.27,0.253,2.5099,11,,823.6762695
13:57.4,47.20936584,1.915581584,152.1999969,128.6999969,451.3000183,483.8999939,0.023726463,1329.325806,1372.743042,40.9657135,39.94357681,1338.800049,1261.300049,825,1241.825806,1475.700073,250.8409271,70.33,2.06,0.018,8.05,2.25,13.6,1.26,0.229,2.5103,14,,827.473999
